421829newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/AaronPressman/421829newsML.txt
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TanEeLyn 46.0


590040newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TanEeLyn/590040newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. AlanCrosby 2.0


594800newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TanEeLyn/594800newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. AlanCrosby 2.0


597804newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TanEeLyn/597804newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. SarahDavison 43.0


599823newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TanEeLyn/599823newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. SarahDavison 43.0


603285newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TanEeLyn/603285newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. BenjaminKangLim 4.0


607397newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TanEeLyn/607397newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MureDickie 35.0


636841newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TanEeLyn/636841newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TanEeLyn 46.0


64155newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TanEeLyn/64155newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. AlexanderSmith 3.0


642107newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TanEeLyn/642107newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. AlanCrosby 2.0


643070newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TanEeLyn/643070newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. SarahDavison 43.0


645248newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TanEeLyn/645248newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. PeterHumphrey 38.0


645250newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TanEeLyn/645250newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JanLopatka 15.0


649805newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TanEeLyn/649805newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. AlexanderSmith 3.0


656275newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TanEeLyn/656275newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TanEeLyn 46.0


659257newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TanEeLyn/659257newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MureDickie 35.0


663392newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TanEeLyn/663392newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TanEeLyn 46.0


666776newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TanEeLyn/666776newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. PeterHumphrey 38.0


670175newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TanEeLyn/670175newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KouroshKarimkhany 26.0


672807newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TanEeLyn/672807newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JimGilchrist 16.0


674832newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TanEeLyn/674832newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. PeterHumphrey 38.0


678902newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TanEeLyn/678902newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. GrahamEarnshaw 12.0


310688newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/310688newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TheresePoletti 47.0


311947newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/311947newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MartinWolk 32.0


312549newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/312549newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MartinWolk 32.0


313085newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/313085newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MartinWolk 32.0


313988newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/313988newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. HeatherScoffield 13.0


314998newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/314998newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TheresePoletti 47.0


315075newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/315075newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TheresePoletti 47.0


315693newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/315693newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JonathanBirt 19.0


321567newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/321567newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. BernardHickey 5.0


322124newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/322124newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. BernardHickey 5.0


322766newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/322766newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TheresePoletti 47.0


324705newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/324705newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. GrahamEarnshaw 12.0


324934newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/324934newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JonathanBirt 19.0


325405newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/325405newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. NickLouth 36.0


330770newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/330770newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. HeatherScoffield 13.0


330792newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/330792newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. HeatherScoffield 13.0


331518newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/331518newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TheresePoletti 47.0


331605newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/331605newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. HeatherScoffield 13.0


333627newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/333627newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TheresePoletti 47.0


338472newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/338472newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. WilliamKazer 50.0


339740newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/339740newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KirstinRidley 25.0


344052newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/344052newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KouroshKarimkhany 26.0


345592newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/345592newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KouroshKarimkhany 26.0


346089newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/346089newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KouroshKarimkhany 26.0


34985newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/34985newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. SamuelPerry 42.0


363301newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/363301newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KouroshKarimkhany 26.0


367046newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/367046newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JimGilchrist 16.0


384880newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/384880newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. RobinSidel 40.0


39594newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/39594newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TheresePoletti 47.0


39979newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/39979newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TheresePoletti 47.0


401255newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/401255newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. PatriciaCommins 37.0


404379newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/404379newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JoWinterbottom 20.0


40529newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/40529newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MartinWolk 32.0


405715newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/405715newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JoeOrtiz 17.0


411582newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/411582newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. RobinSidel 40.0


413657newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/413657newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MichaelConnor 34.0


413744newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/413744newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MichaelConnor 34.0


42862newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/42862newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TheresePoletti 47.0


429426newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/429426newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KeithWeir 22.0


42990newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/42990newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TheresePoletti 47.0


430880newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/430880newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KeithWeir 22.0


433408newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/433408newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LydiaZajc 27.0


437582newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/437582newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. LynnleyBrowning 29.0


453075newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/453075newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KeithWeir 22.0


457369newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/457369newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KeithWeir 22.0


459349newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/459349newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TheresePoletti 47.0


472398newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/472398newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. SamuelPerry 42.0


482069newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/482069newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. BradDorfman 6.0


484505newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/484505newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JoWinterbottom 20.0


485194newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TheresePoletti/485194newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JoWinterbottom 20.0


244215newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/244215newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. AlexanderSmith 3.0


247062newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/247062newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MarcelMichelson 30.0


24919newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/24919newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TimFarrand 48.0


250585newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/250585newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KevinMorrison 24.0


253041newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/253041newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TimFarrand 48.0


253128newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/253128newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KirstinRidley 25.0


258162newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/258162newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KevinMorrison 24.0


259532newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/259532newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. DavidLawder 8.0


262620newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/262620newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TimFarrand 48.0


262644newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/262644newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TimFarrand 48.0


267753newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/267753newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KeithWeir 22.0


267997newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/267997newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MartinWolk 32.0


292123newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/292123newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MarkBendeich 31.0


306551newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/306551newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TimFarrand 48.0


307168newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/307168newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TheresePoletti 47.0


309610newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/309610newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TimFarrand 48.0


31031newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/31031newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TimFarrand 48.0


31143newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/31143newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TimFarrand 48.0


315548newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/315548newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KirstinRidley 25.0


318218newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/318218newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. JonathanBirt 19.0


325763newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/325763newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. HeatherScoffield 13.0


325855newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/325855newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. HeatherScoffield 13.0


326348newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/326348newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. TimFarrand 48.0


34067newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/34067newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. KevinDrawbaugh 23.0


345001newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/345001newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. PatriciaCommins 37.0


361229newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/361229newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MatthewBunce 33.0


364018newsML.txt C:\Users\Rasata Liantsoa\Documents\4INFO\Acqdeco\Reuters50_50\Reuters50_50\C50test/TimFarrand/364018newsML.txt
Canonicizers: Normalize ASCII 
EventDriver: Lexical Frequencies 
Analysis: Linear SVM 
1. MarkBendeich 31.0


